left_x,left_y,right_x,right_y
-1.7667,1.4703,-1.2054,-2.4342
2.7609,1.7154,3.1781,-1.9323
7.2786,1.727,7.4856,-1.8135
12.035,1.777,12.132,-1.684
16.539,1.8575,16.791,-1.634
21.034,1.9058,21.016,-1.5777
25.825,1.8237,25.949,-1.6844
29.008,1.6882,29.048,-1.7289
32.854,1.5324,32.612,-1.837
36.054,1.406,35.959,-2.0252
39.64,1.3329,38.39,-2.417
41.841,0.4617,39.908,-3.0469
43.795,-0.82433,40.85,-3.813
45.312,-2.6312,41.67,-4.832
46.155,-4.625,42.198,-5.7312
46.422,-7.1025,42.644,-7.4576
46.532,-9.6071,42.622,-9.8456
46.376,-11.953,42.524,-11.471
45.84,-14.409,42.16,-13.486
45.092,-16.52,41.456,-15.182
43.663,-19.095,40.533,-16.88
41.372,-21.745,38.518,-18.999
37.89,-24.083,36.204,-20.471
34.62,-25.538,32.759,-21.974
31.238,-26.407,28.474,-23.482
27.435,-27.595,25.444,-24.171
24.487,-28.271,22.964,-24.495
21.94,-28.539,21.2,-24.22
17.776,-27.499,18.794,-23.468
14.973,-25.155,16.174,-21.452
13.464,-23.703,13.564,-18.867
11.352,-21.938,11.89,-17.364
9.2848,-20.39,10.304,-16.099
7.4834,-18.92,6.7995,-13.866
4.776,-17.498,4.3283,-13.512
1.2876,-17.333,1.123,-13.714
-1.6339,-18.276,-2.7538,-14.166
-3.1795,-21.729,-4.8145,-15.676
-3.2737,-25.02,-7.1527,-19.084
-3.078,-27.428,-8.1841,-23.216
-2.7759,-30.083,-7.9078,-27.239
-3.4181,-34.082,-7.0089,-31.045
-5.1704,-37.148,-8.4212,-34.921
-6.5504,-40.391,-10.344,-39.31
-5.8645,-42.862,-9.2158,-43.815
-4.3776,-44.949,-6.9204,-47.631
-2.173,-47.477,-4.606,-50.548
0.14787,-48.764,-2.3527,-51.889
4.0886,-48.879,-0.16584,-52.891
8.0548,-47.916,2.0412,-53.272
11.96,-47.655,4.1574,-53.365
14.959,-47.935,8.7518,-53.057
17.608,-48.676,12.997,-52.165
19.571,-49.776,16.446,-52.552
22.607,-52.184,19.589,-54.88
25.34,-55.391,21.405,-57.289
27.526,-58.728,23.5,-60.53
29.164,-62.033,25.262,-63.393
30.101,-65.722,26.204,-65.977
30.185,-69.022,26.148,-68.356
29.283,-72.074,25.66,-69.34
26.99,-73.962,24.71,-69.916
23.765,-74.396,21.122,-70.26
19.983,-74.25,16.893,-69.465
15.701,-73.03,12.551,-68.42
11.524,-71.986,8.6141,-67.525
7.5542,-71.014,5.1299,-66.636
3.9931,-70.148,1.2918,-65.519
-0.06681,-69.103,-0.91146,-64
-3.4423,-67.231,-3.1928,-61.759
-5.4904,-65.112,-4.8898,-59.922
-7.2459,-62.596,-7.3427,-57.379
-9.3612,-60.315,-9.3245,-55.365
-11.545,-58.312,-11.927,-52.586
-14.415,-54.934,-13.991,-50.405
-16.519,-52.561,-15.856,-48.292
-18.58,-50.139,-17.421,-46.34
-21.812,-46.621,-18.963,-44.472
-24.727,-43.475,-20.869,-41.122
-25.75,-40.398,-21.783,-39.554
-26.048,-36.97,-22.118,-36.981
-25.932,-32.619,-22.378,-33.376
-25.726,-28.644,-22.289,-29.805
-25.001,-24.676,-21.683,-25.673
-24.292,-20.863,-20.84,-21.8
-23.305,-17.204,-19.734,-18.067
-22.132,-13.642,-18.8,-14.369
-20.789,-9.2806,-17.49,-10.845
-18.463,-6.4125,-15.561,-8.8696
-15.602,-3.687,-13.942,-7.2788
-13.575,-2.166,-11.832,-5.8212
-11.515,-0.89286,-9.6029,-4.7861
-7.0434,0.44019,-6.3578,-3.6278
-4.1093,1.1096,-3.7964,-2.9047
-1.7667,1.4703,-1.2054,-2.4342
